report_id,project_id,complaint_type,report_date,citizen_name_masked,status
CIT00042,PRJ00637,Work incomplete but marked complete,2026-06-19,Citizen_1237,Resolved
CIT00043,PRJ00646,No such facility exists at stated location,2025-11-10,Citizen_5041,Open
CIT00044,PRJ00649,Work incomplete but marked complete,2026-05-28,Citizen_8114,Resolved
CIT00045,PRJ00652,Poor quality of construction material,2026-08-24,Citizen_3440,Resolved
CIT00046,PRJ00662,Work not started despite funds released,2026-02-16,Citizen_7844,Open
CIT00047,PRJ00691,Work not started despite funds released,2025-10-30,Citizen_8711,Resolved
CIT00048,PRJ00700,Overpricing compared to similar local works,2025-08-01,Citizen_1550,Under Review
CIT00049,PRJ00701,Overpricing compared to similar local works,2026-07-25,Citizen_7460,Under Review
CIT00050,PRJ00711,Work not started despite funds released,2026-03-20,Citizen_8412,Under Review
CIT00051,PRJ00712,Poor quality of construction material,2026-04-17,Citizen_2361,Resolved
CIT00052,PRJ00713,Work not started despite funds released,2026-08-23,Citizen_7662,Open
CIT00053,PRJ00716,Poor quality of construction material,2025-05-29,Citizen_6872,Under Review
CIT00054,PRJ00727,Poor quality of construction material,2024-09-23,Citizen_2486,Open
CIT00055,PRJ00748,No such facility exists at stated location,2026-08-27,Citizen_5994,Open
CIT00056,PRJ00755,No such facility exists at stated location,2025-07-27,Citizen_1399,Under Review
CIT00057,PRJ00770,No such facility exists at stated location,2026-08-05,Citizen_3271,Resolved
CIT00058,PRJ00854,No such facility exists at stated location,2025-07-05,Citizen_4030,Under Review
CIT00059,PRJ00879,No such facility exists at stated location,2026-04-28,Citizen_1022,Resolved
CIT00060,PRJ00880,Work not started despite funds released,2025-05-19,Citizen_7305,Resolved
CIT00061,PRJ00885,Work incomplete but marked complete,2026-03-30,Citizen_9698,Open
CIT00062,PRJ00894,Work incomplete but marked complete,2026-07-24,Citizen_7977,Under Review
CIT00063,PRJ00909,Overpricing compared to similar local works,2025-04-08,Citizen_9887,Resolved
CIT00064,PRJ00918,Poor quality of construction material,2026-04-02,Citizen_2326,Resolved
CIT00065,PRJ00922,Work incomplete but marked complete,2026-07-07,Citizen_1898,Resolved
CIT00066,PRJ00940,Work incomplete but marked complete,2026-04-02,Citizen_1844,Open
CIT00067,PRJ00976,No such facility exists at stated location,2026-07-19,Citizen_6989,Under Review
CIT00068,PRJ01000,Overpricing compared to similar local works,2026-02-08,Citizen_1669,Under Review
